Date,MaxT,MinT,Humidity,Wind,Rain,Unnamed:0
1/1/2014,20.5,10.2,78,5.2,0,0
1/2/2014,19.8,9.6,75,4.8,0,0
1/3/2014,20.3,8.9,74,6.1,0,0
1/4/2014,21.1,9.3,77,5.5,0,0
1/5/2014,20.7,8.5,72,7.3,0,0
1/6/2014,19.6,7.8,70,8.2,0,0
1/7/2014,18.9,7.2,73,6.9,0,0
1/8/2014,19.3,6.8,69,5.8,0,0
1/9/2014,20.8,7.5,66,4.9,0,0
1/10/2014,21.5,8.1,68,5.3,0,0
1/11/2014,22,9.4,71,6.2,0,0
1/12/2014,21.6,10.1,76,5.7,0,0
1/13/2014,20.9,9.8,79,4.5,0,0
1/14/2014,19.5,8.7,75,5.9,0,0
1/15/2014,18.8,7.5,72,7.8,0,0
1/16/2014,19.2,6.9,68,8.5,0,0
1/17/2014,20.1,7.2,65,9.2,0,0
1/18/2014,21.3,8.5,67,7.6,0,0
1/19/2014,22.5,9.7,70,6.3,0,0
1/20/2014,23.1,10.5,74,5.1,0,0
1/21/2014,22.8,11.2,79,4.7,0,0
1/22/2014,21.9,10.8,82,3.9,0,0
1/23/2014,21.2,10.4,80,4.5,0,0
1/24/2014,20.5,9.6,77,5.8,0,0
1/25/2014,19.8,8.3,72,7.1,0,0
1/26/2014,20.2,7.9,68,8.3,0,0
1/27/2014,21.7,9.1,65,7.5,0,0
1/28/2014,22.9,10.3,69,6.2,0,0
1/29/2014,23.5,11.6,73,5.4,0,0
1/30/2014,24.1,12.3,77,4.8,0,0
1/31/2014,23.7,11.9,80,3.5,0,0
2/1/2014,23.2,11.5,82,3.8,0,0
2/2/2014,22.8,11.1,79,4.6,0,0
2/3/2014,22.1,10.7,75,5.9,0,0
2/4/2014,21.5,10.2,71,7.2,0,0
2/5/2014,22.3,10.9,69,8.1,0,0
2/6/2014,23.6,11.7,73,6.7,0,0
2/7/2014,24.5,12.6,77,5.3,0,0
2/8/2014,25.1,13.2,80,4.9,0,0
2/9/2014,25.7,13.8,82,3.7,0,0
2/10/2014,26.3,14.5,85,3.2,0,0
2/11/2014,25.9,14.1,87,2.8,0.5,0
2/12/2014,24.2,13.3,89,3.5,2.3,0
2/13/2014,22.6,12.5,90,4.1,4.7,0
2/14/2014,21.9,11.8,88,5.7,1.2,0
2/15/2014,22.7,12.3,83,6.9,0,0
2/16/2014,23.8,13.1,79,6.2,0,0
2/17/2014,24.9,13.8,75,5.6,0,0
2/18/2014,25.5,14.3,72,5.1,0,0
2/19/2014,26.2,15.1,70,4.7,0,0
2/20/2014,27.3,15.9,68,5.5,0,0
2/21/2014,28.1,16.7,65,6.8,0,0
2/22/2014,28.8,17.2,63,7.9,0,0
2/23/2014,29.2,17.6,61,8.5,0,0
2/24/2014,29.7,18.1,59,7.3,0,0
2/25/2014,30.1,18.5,60,6.2,0,0
2/26/2014,30.5,18.9,63,5.8,0,0
2/27/2014,29.8,18.2,65,5.3,0,0
2/28/2014,28.9,17.5,68,4.9,0,0
3/1/2014,29.6,17.8,65,5.5,0,0
3/2/2014,30.2,18.3,63,6.2,0,0
3/3/2014,30.8,18.9,60,7.1,0,0
3/4/2014,31.5,19.4,58,8.3,0,0
3/5/2014,32.1,20,55,9.5,0,0
3/6/2014,32.7,20.5,53,10.2,0,0
3/7/2014,33.2,21.1,50,11.4,0,0
3/8/2014,33.8,21.6,48,12.5,0,0
3/9/2014,34.3,22,45,11.8,0,0
3/10/2014,34.9,22.5,43,10.9,0,0
3/11/2014,35.4,22.9,40,9.7,0,0
3/12/2014,35.9,23.3,38,8.5,0,0
3/13/2014,36.3,23.6,36,7.6,0,0
3/14/2014,36.7,23.9,35,6.8,0,0
3/15/2014,36.1,23.5,38,7.3,0,0
3/16/2014,35.5,23,42,8.1,0,0
3/17/2014,34.8,22.6,45,9.2,0,0
3/18/2014,34.2,22.1,49,10.4,0,0
3/19/2014,33.7,21.5,53,11.5,0,0
3/20/2014,33.1,21,57,12.3,2.6,0
3/21/2014,32.5,20.5,61,11.8,5.4,0
3/22/2014,31.8,19.9,65,10.5,8.2,0
3/23/2014,31.2,19.4,69,9.3,3.7,0
3/24/2014,30.7,18.9,72,8.1,1.5,0
3/25/2014,31.3,19.5,68,7.4,0,0
3/26/2014,32,20.1,64,8.6,0,0
3/27/2014,32.8,20.7,60,9.8,0,0
3/28/2014,33.6,21.4,56,11.2,0,0
3/29/2014,34.4,22,52,12.5,0,0
3/30/2014,35.1,22.7,48,13.7,0,0
3/31/2014,35.7,23.3,44,14.2,0,0
4/1/2014,36.3,23.8,41,14.8,0,0
4/2/2014,36.9,24.2,38,15.3,0,0
4/3/2014,37.4,24.6,36,15.7,0,0
4/4/2014,37.8,24.9,34,16.1,0,0
4/5/2014,38.2,25.1,32,16.5,0,0
4/6/2014,38.5,25.3,30,16.9,0,0
4/7/2014,38.7,25.4,29,17.2,0,0
4/8/2014,38.9,25.5,28,17.4,0,0
4/9/2014,39.1,25.6,27,17.6,0,0
4/10/2014,39.2,25.7,26,17.8,0,0
4/11/2014,39.3,25.7,25,17.9,0,0
4/12/2014,39.4,25.8,25,18,0,0
4/13/2014,39.2,25.7,26,17.5,0,0
4/14/2014,38.9,25.5,27,16.9,0,0
4/15/2014,38.6,25.3,29,16.2,0,0
4/16/2014,38.2,25,31,15.6,0,0
4/17/2014,37.8,24.7,34,14.9,0,0
4/18/2014,37.3,24.3,37,14.1,0,0
4/19/2014,36.8,23.9,40,13.4,2.4,0
4/20/2014,36.2,23.5,44,12.6,11.2,0
4/21/2014,35.7,23,48,11.8,12.8,0
4/22/2014,35.1,22.6,53,11,14.5,0
4/23/2014,34.5,22.1,57,10.1,16.2,0
4/24/2014,33.9,21.7,62,9.3,13.8,0
4/25/2014,34.4,22.2,58,9.9,11.5,0
4/26/2014,35,22.8,54,10.7,7.2,0
4/27/2014,35.7,23.3,50,11.6,0,0
4/28/2014,36.4,23.9,46,12.5,0,0
4/29/2014,37.1,24.5,42,13.4,0,0
4/30/2014,37.8,25,38,14.2,0,0
5/1/2014,38.5,25.6,36,14.8,0,0
5/2/2014,39.2,26.1,34,15.3,0,0
